outcome;exposure;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;estimate;se;HR;CI_left;CI_right;pval
D00;D33;sex-interaction time-number_como-adjusted;women;1811863;23990696.0879557;43463;89426;814384.908967739;6312;0.65360863;0.01534169;1.9224657944198;1.86551932007421;1.98115060559497;0
D00;D41;sex-interaction crude;men;1737908;22757451.6987125;32258;71760;651731.334733141;2653;1.6416129;0.02027349;5.1634909941961;4.96234092338804;5.37279474723011;0
D00;D41;sex-interaction crude;women;1795231;23708747.4006737;45546;109500;1096333.59624972;4229;1.1798937;0.01612182;3.25402828129796;3.15281439740791;3.35849140507367;0
D00;D41;sex-interaction kessler-adjusted;men;1737908;22757451.6987125;32258;71760;651731.334733141;2653;0.68471625;0.0221452;1.98320902013204;1.89897156029411;2.07118321294076;6.55395318095018e-210
D00;D41;sex-interaction kessler-adjusted;women;1795231;23708747.4006737;45546;109500;1096333.59624972;4229;0.32991216;0.0179335;1.39084595118948;1.34280827135054;1.44060213301678;1.40341139134369e-75
D00;D41;sex-interaction time-adjusted;men;1737908;22757451.6987125;32258;71760;651731.334733141;2653;1.6430594;0.02027782;5.1709653884716;4.96948196914165;5.38061778165376;0
D00;D41;sex-interaction time-adjusted;women;1795231;23708747.4006737;45546;109500;1096333.59624972;4229;1.1807388;0.01612367;3.25677942292965;3.15546852549359;3.36134305378909;0
D00;D41;sex-interaction time-comorbidity-adjusted;men;1737908;22757451.6987125;32258;71760;651731.334733141;2653;0.77656623;0.02232725;2.17399443739545;2.08091067856025;2.27124203961334;4.69751243447314e-265
D00;D41;sex-interaction time-comorbidity-adjusted;women;1795231;23708747.4006737;45546;109500;1096333.59624972;4229;0.39999419;0.01819294;1.49181603016496;1.4395588073054;1.54597023516039;3.90068389195008e-107
D00;D41;sex-interaction time-number_como-adjusted;men;1737908;22757451.6987125;32258;71760;651731.334733141;2653;0.64888621;0.02181946;1.91340850649413;1.83330592642874;1.99701100615321;2.41516693377314e-194
D00;D41;sex-interaction time-number_como-adjusted;women;1795231;23708747.4006737;45546;109500;1096333.59624972;4229;0.22316401;0.01783221;1.25002557361884;1.20709122672081;1.29448702808153;6.20746421163408e-36
D00;D42;sex-interaction crude;men;1772282;23389633.1671083;34844;2335;19549.8663373008;67;1.5009161;0.12230571;4.4857966268744;3.52965916795495;5.70093893494438;1.28304110550766e-34
D00;D42;sex-interaction crude;women;1856043;24773678.5767722;49675;3704;31402.420151209;100;1.2642415;0.10012493;3.54040631922104;2.90955527558668;4.308038761234;1.50570408857039e-36
